"","Offense","Description","Neighborhood","Precinct","UCRCode","Time","Month","Year","Date","Longitude","Latitude"
"6437","THEFT","Other Theft","LOWRY HILL EAST",5,7,"03:30:00","01","2015","2015-01-11",-93.288437,44.96059
"6438","AUTOTH","Motor Vehicle Theft","MIDTOWN PHILLIPS",3,8,"22:30:00","01","2015","2015-01-11",-93.255882,44.953861
"6439","BURGD","Burglary Of Dwelling","PHILLIPS WEST",3,6,"09:30:00","01","2015","2015-01-11",-93.266823,44.949089
"6440","BURGD","Burglary Of Dwelling","EAST ISLES",5,6,"20:00:00","01","2015","2015-01-11",-93.303192,44.94902
"6441","ASLT3","Aslt-sgnfcnt Bdly Hm","ECCO",5,5,"04:55:00","01","2015","2015-01-11",-93.30484,44.946308
"6442","TFMV","Theft From Motr Vehc","LONGFELLOW",3,7,"00:01:00","01","2015","2015-01-11",-93.232719,44.9487
"6443","TFMV","Theft From Motr Vehc","ARMATAGE",5,7,"16:00:00","01","2015","2015-01-11",-93.31646,44.90493
"6444","THEFT","Other Theft","WHITTIER",5,7,"21:00:00","01","2015","2015-01-11",-93.271118,44.960381
"6445","TFMV","Theft From Motr Vehc","FOLWELL",4,7,"23:00:00","01","2015","2015-01-11",-93.299019,45.01606
"6446","THEFT","Other Theft","NICOLLET ISLAND - EAST BANK",2,7,"00:30:00","01","2015","2015-01-11",-93.25769,44.987808
"6447","SHOPLF","Shoplifting","HIAWATHA",3,7,"09:02:00","01","2015","2015-01-11",-93.218407,44.920261
"6448","THEFT","Other Theft","NORTHROP",3,7,"22:00:00","01","2015","2015-01-11",-93.259148,44.91666
"6449","THEFT","Other Theft","WINDOM",5,7,"01:00:00","01","2015","2015-01-11",-93.27774,44.891251
"6450","ROBPER","Robbery Of Person","DOWNTOWN WEST",1,4,"02:00:00","01","2015","2015-01-11",-93.272781,44.980141
"6451","BURGB","Burglary Of Business","CARAG",5,6,"15:00:00","01","2015","2015-01-11",-93.297409,44.944019
"6452","AUTOTH","Motor Vehicle Theft","CENTRAL",3,8,"10:45:00","01","2015","2015-01-11",-93.270638,44.945301
"6453","TFMV","Theft From Motr Vehc","LOWRY HILL",5,7,"00:30:00","01","2015","2015-01-11",-93.292702,44.961552
"6454","THEFT","Other Theft","LYNDALE",5,7,"11:00:00","01","2015","2015-01-11",-93.285973,44.939381
"6455","THEFT","Other Theft","NICOLLET ISLAND - EAST BANK",2,7,"01:00:00","01","2015","2015-01-11",-93.25769,44.987808
"6456","BURGB","Burglary Of Business","NICOLLET ISLAND - EAST BANK",2,6,"18:00:00","01","2015","2015-01-11",-93.258057,44.985882
"6457","THEFT","Other Theft","VICTORY",4,7,"06:00:00","01","2015","2015-01-11",-93.310921,45.025902
"6458","TFMV","Theft From Motr Vehc","CEDAR RIVERSIDE",1,7,"14:00:00","01","2015","2015-01-11",-93.246971,44.9669
"6459","SHOPLF","Shoplifting","WHITTIER",5,7,"18:00:00","01","2015","2015-01-11",-93.287872,44.952419
"6460","THEFT","Other Theft","NEAR - NORTH",4,7,"13:30:00","01","2015","2015-01-11",-93.295631,44.999031
"6461","THEFT","Other Theft","NICOLLET ISLAND - EAST BANK",2,7,"23:00:00","01","2015","2015-01-11",-93.25769,44.987808
"6462","SHOPLF","Shoplifting","WHITTIER",5,7,"19:00:00","01","2015","2015-01-11",-93.287872,44.952419
"6463","THEFT","Other Theft","WINDOM PARK",2,7,"15:11:00","01","2015","2015-01-11",-93.236992,45.007702
"6464","TFPER","Theft From Person","FOLWELL",4,7,"15:32:00","01","2015","2015-01-11",-93.295593,45.013142
"6465","TFMV","Theft From Motr Vehc","LONGFELLOW",3,7,"17:00:00","01","2015","2015-01-11",-93.22226,44.94669
"6466","TFMV","Theft From Motr Vehc","FULTON",5,7,"18:30:00","01","2015","2015-01-11",-93.310287,44.909111
"6467","TFMV","Theft From Motr Vehc","DOWNTOWN WEST",1,7,"12:00:00","01","2015","2015-01-11",-93.272362,44.972569
"6468","ROBPAG","Robbery Per Agg","FOLWELL",4,4,"19:00:00","01","2015","2015-01-11",-93.293068,45.020351
"6469","TFMV","Theft From Motr Vehc","VENTURA VILLAGE",3,7,"18:30:00","01","2015","2015-01-11",-93.266762,44.961578
"6470","TFMV","Theft From Motr Vehc","LORING PARK",1,7,"17:00:00","01","2015","2015-01-11",-93.278229,44.97076
"6471","ROBPER","Robbery Of Person","STANDISH",3,4,"20:20:00","01","2015","2015-01-11",-93.23465,44.934109
"6472","AUTOTH","Motor Vehicle Theft","CENTRAL",3,8,"19:00:00","01","2015","2015-01-11",-93.266693,44.937981
"6473","TFMV","Theft From Motr Vehc","CORCORAN",3,7,"15:00:00","01","2015","2015-01-11",-93.239304,44.947418
"6474","TFMV","Theft From Motr Vehc","SEWARD",3,7,"23:00:00","01","2015","2015-01-12",-93.235153,44.956459
"6475","TFMV","Theft From Motr Vehc","SEWARD",3,7,"23:00:00","01","2015","2015-01-12",-93.235153,44.956459
"6476","THEFT","Other Theft","MIDTOWN PHILLIPS",3,7,"07:00:00","01","2015","2015-01-12",-93.25882,44.952961
"6477","AUTOTH","Motor Vehicle Theft","WHITTIER",5,8,"06:00:00","01","2015","2015-01-12",-93.282913,44.94849
"6478","AUTOTH","Motor Vehicle Theft","EAST PHILLIPS",3,8,"22:30:00","01","2015","2015-01-12",-93.250313,44.951778
"6479","AUTOTH","Motor Vehicle Theft","WENONAH",3,8,"15:00:00","01","2015","2015-01-12",-93.22332,44.90382
"6480","BURGB","Burglary Of Business","CEDAR - ISLES - DEAN",5,6,"16:00:00","01","2015","2015-01-12",-93.31794,44.95005
"6481","DASTR","Domestic Assault/Strangulation","COMO",2,5,"06:37:00","01","2015","2015-01-12",-93.234779,44.987358
"6482","BURGD","Burglary Of Dwelling","CEDAR - ISLES - DEAN",5,6,"18:45:00","01","2015","2015-01-12",-93.318298,44.948978
"6483","ROBPAG","Robbery Per Agg","MIDTOWN PHILLIPS",3,4,"06:00:00","01","2015","2015-01-12",-93.262573,44.959122
"6484","BURGD","Burglary Of Dwelling","MCKINLEY",4,6,"09:50:00","01","2015","2015-01-12",-93.287621,45.023449
"6485","BIKETF","Bike Theft","PROSPECT PARK - EAST RIVER ROAD",2,7,"13:00:00","01","2015","2015-01-12",-93.215317,44.972309
"6486","TFMV","Theft From Motr Vehc","HAWTHORNE",4,7,"17:00:00","01","2015","2015-01-12",-93.281342,45.00341
"6487","BURGD","Burglary Of Dwelling","CEDAR - ISLES - DEAN",5,6,"01:40:00","01","2015","2015-01-12",-93.31794,44.95005
"6488","BURGB","Burglary Of Business","NICOLLET ISLAND - EAST BANK",2,6,"20:30:00","01","2015","2015-01-12",-93.258057,44.985882
"6489","THEFT","Other Theft","DOWNTOWN WEST",1,7,"16:00:00","01","2015","2015-01-12",-93.273689,44.980419
"6490","THEFT","Other Theft","AUDUBON PARK",2,7,"17:00:00","01","2015","2015-01-12",-93.236053,45.016331
"6491","TFPER","Theft From Person","DOWNTOWN WEST",1,7,"17:00:00","01","2015","2015-01-08",-93.273872,44.975609
"6492","BURGB","Burglary Of Business","WHITTIER",5,6,"00:43:00","01","2015","2015-01-12",-93.277473,44.956989
"6493","BIKETF","Bike Theft","CORCORAN",3,7,"00:00:00","01","2015","2015-01-12",-93.245773,44.946129
"6494","AUTOTH","Motor Vehicle Theft","PHILLIPS WEST",3,8,"09:00:00","01","2015","2015-01-12",-93.262672,44.94836
"6495","SHOPLF","Shoplifting","NORTHEAST PARK",2,7,"12:42:00","01","2015","2015-01-12",-93.228127,45.004391
"6496","THEFT","Other Theft","WINDOM",5,7,"23:30:00","01","2015","2015-01-12",-93.278503,44.892651
"6497","THEFT","Other Theft","KING FIELD",5,7,"00:01:00","01","2015","2015-01-12",-93.284721,44.933941
"6498","TFPER","Theft From Person","ELLIOT PARK",1,7,"14:36:00","01","2015","2015-01-12",-93.26255,44.968029
"6499","ASLT2","Asslt W/dngrs Weapon","EAST PHILLIPS",3,5,"13:19:00","01","2015","2015-01-12",-93.247978,44.958172
"6500","THEFT","Other Theft","JORDAN",4,7,"22:00:00","01","2015","2015-01-12",-93.294518,45.003311
"6501","THEFT","Other Theft","DOWNTOWN WEST",1,7,"01:00:00","01","2015","2015-01-12",-93.27301,44.980709
"6502","ROBPAG","Robbery Per Agg","MCKINLEY",4,4,"15:28:00","01","2015","2015-01-12",-93.290192,45.020672
"6503","ROBPAG","Robbery Per Agg","LOGAN PARK",2,4,"18:00:00","01","2015","2015-01-12",-93.255173,44.99889
"6504","AUTOTH","Motor Vehicle Theft","MINNEHAHA",3,8,"22:00:00","01","2015","2015-01-12",-93.222481,44.90786
"6505","THEFT","Other Theft","ELLIOT PARK",1,7,"16:10:00","01","2015","2015-01-12",-93.266068,44.970798
"6506","TFMV","Theft From Motr Vehc","WEBBER - CAMDEN",4,7,"23:00:00","01","2015","2015-01-12",-93.305031,45.03244
"6507","THEFT","Other Theft","AUDUBON PARK",2,7,"16:24:00","01","2015","2015-01-12",-93.247101,45.022091
"6508","THFTSW","Theft By Swindle","CEDAR RIVERSIDE",1,7,"00:00:00","01","2015","2015-01-12",-93.248306,44.970032
"6509","TFPER","Theft From Person","ELLIOT PARK",1,7,"16:40:00","01","2015","2015-01-12",-93.259369,44.971828
"6510","ASLT2","Asslt W/dngrs Weapon","CENTRAL",3,5,"09:15:00","01","2015","2015-01-12",-93.272453,44.948219
"6511","DASLT2","2nd Deg Domes Aslt","LIND - BOHANON",4,5,"17:10:00","01","2015","2015-01-12",-93.296928,45.04071
"6512","ROBPAG","Robbery Per Agg","WILLARD - HAY",4,4,"16:30:00","01","2015","2015-01-12",-93.31205,44.998798
"6513","BURGD","Burglary Of Dwelling","HOWE",3,6,"08:15:00","01","2015","2015-01-12",-93.217491,44.940472
"6514","BURGD","Burglary Of Dwelling","CEDAR - ISLES - DEAN",5,6,"15:44:00","01","2015","2015-01-12",-93.312668,44.95245
"6515","BURGB","Burglary Of Business","COMO",2,6,"17:30:00","01","2015","2015-01-12",-93.230621,44.987701
"6516","DASLT2","2nd Deg Domes Aslt","WILLARD - HAY",4,5,"18:27:00","01","2015","2015-01-12",-93.310051,44.98645
"6517","BURGD","Burglary Of Dwelling","JORDAN",4,6,"06:30:00","01","2015","2015-01-12",-93.312408,45.009392
"6518","CSCR","Crim Sex Cond-rape","WILLARD - HAY",4,3,"14:00:00","01","2015","2015-01-12",-93.30825,44.9897
"6519","TFMV","Theft From Motr Vehc","NEAR - NORTH",4,7,"18:24:00","01","2015","2015-01-12",-93.281021,44.9958
"6520","SHOPLF","Shoplifting","DOWNTOWN WEST",1,7,"15:10:00","01","2015","2015-01-12",-93.275017,44.974751
"6521","SHOPLF","Shoplifting","NEAR - NORTH",4,7,"20:45:00","01","2015","2015-01-12",-93.2892,44.998249
"6522","TFMV","Theft From Motr Vehc","VENTURA VILLAGE",3,7,"08:40:00","01","2015","2015-01-12",-93.25618,44.962078
"6523","BURGD","Burglary Of Dwelling","BANCROFT",3,6,"08:03:00","01","2015","2015-01-12",-93.259232,44.93034
"6524","DASTR","Domestic Assault/Strangulation","HAWTHORNE",4,5,"21:30:00","01","2015","2015-01-12",-93.292122,45.00333
"6525","DASTR","Domestic Assault/Strangulation","TANGLETOWN",5,5,"20:10:00","01","2015","2015-01-12",-93.287369,44.918579
"6526","THEFT","Other Theft","DOWNTOWN WEST",1,7,"21:00:00","01","2015","2015-01-12",-93.275383,44.973461
"6527","BURGD","Burglary Of Dwelling","LOWRY HILL EAST",5,6,"07:15:00","01","2015","2015-01-12",-93.289703,44.954971
"6528","ROBPER","Robbery Of Person","MCKINLEY",4,4,"19:29:00","01","2015","2015-01-13",-93.28759,45.018261
"6529","DASTR","Domestic Assault/Strangulation","POWDERHORN PARK",3,5,"01:07:00","01","2015","2015-01-13",-93.259644,44.93824
"6530","THEFT","Other Theft","DOWNTOWN WEST",1,7,"00:00:00","01","2015","2015-01-13",-93.274384,44.981289
"6531","SHOPLF","Shoplifting","BANCROFT",3,7,"15:43:00","01","2015","2015-01-13",-93.252777,44.933868
"6532","THEFT","Other Theft","LYNDALE",5,7,"23:00:00","01","2015","2015-01-13",-93.286812,44.948372
"6533","CSCR","Crim Sex Cond-rape","MCKINLEY",4,3,"03:00:00","01","2015","2015-01-13",-93.286919,45.014118
"6534","THEFT","Other Theft","CORCORAN",3,7,"15:55:00","01","2015","2015-01-13",-93.246971,44.93977
"6535","AUTOTH","Motor Vehicle Theft","BOTTINEAU",2,8,"19:30:00","01","2015","2015-01-13",-93.265984,45.007549
"6536","THEFT","Other Theft","KING FIELD",5,7,"02:00:00","01","2015","2015-01-13",-93.286018,44.935162
"6537","ROBPER","Robbery Of Person","MCKINLEY",4,4,"08:40:00","01","2015","2015-01-13",-93.289291,45.016701
"6538","TFMV","Theft From Motr Vehc","NORTH LOOP",1,7,"16:00:00","01","2015","2015-01-13",-93.278954,44.98579
"6539","TFMV","Theft From Motr Vehc","JORDAN",4,7,"19:00:00","01","2015","2015-01-13",-93.306602,45.009121
"6540","THEFT","Other Theft","DOWNTOWN WEST",1,7,"14:00:00","01","2015","2015-01-13",-93.26844,44.979221
"6541","TMVP","Theft-motr Veh Parts","JORDAN",4,7,"00:00:00","01","2015","2015-01-13",-93.316261,45.012749
"6542","AUTOTH","Motor Vehicle Theft","NEAR - NORTH",4,8,"09:00:00","01","2015","2015-01-13",-93.293701,44.992699
